gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup,ChargeRatio,TotalServices,MonthlyToTenureRatio,Senior_With_Partner,Cluster
Female,,Yes,Yes,27,,No,DSL,,,,,,,One year,No,Mailed check,66.15,1874.45,0,2-3yr,0.03529035183653872,0.0,2.3625000000000003,0,1
Male,,No,No,1,,No,No,,,,,,,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,0-1yr,1.0,0.0,10.1,0,1
Male,,No,No,1,,No,DSL,,,,,,,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,0-1yr,1.0,0.0,22.625,0,1
Female,,Yes,Yes,72,,Yes,Fiber optic,,,,,,,Two year,No,Bank transfer (automatic),99.9,7251.7,0,5-6yr,0.013776080091564738,0.0,1.3684931506849316,0,0
Male,,No,No,5,,No,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,69.7,316.9,1,0-1yr,0.21994319974755447,0.0,11.616666666666667,0,1
Female,,No,No,46,,No,Fiber optic,,,,,,,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,3-4yr,0.021080517430882392,0.0,1.5914893617021275,0,0
Male,,No,No,34,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,106.35,3549.25,1,2-3yr,0.02996407691765866,0.0,3.0385714285714283,0,0
Female,,No,No,11,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,0-1yr,0.08851999276280079,0.0,8.154166666666667,0,1
Male,,Yes,Yes,10,,No,DSL,,,,,,,One year,No,Mailed check,49.55,475.7,0,0-1yr,0.10416228715577044,0.0,4.504545454545454,0,1
Female,,Yes,Yes,70,,Yes,DSL,,,,,,,Two year,Yes,Credit card (automatic),69.2,4872.35,0,5-6yr,0.014202592178312313,0.0,0.9746478873239437,0,0
Female,,Yes,Yes,17,,No,No,,,,,,,One year,No,Mailed check,20.75,418.25,0,1-2yr,0.049611476389719064,0.0,1.1527777777777777,0,1
Female,,No,No,63,,Yes,DSL,,,,,,,Two year,Yes,Credit card (automatic),79.85,4861.45,0,5-6yr,0.016425140647337726,0.0,1.24765625,0,0
Female,,Yes,No,13,,Yes,DSL,,,,,,,Month-to-month,Yes,Electronic check,76.2,981.45,0,1-2yr,0.07764022619593458,0.0,5.442857142857143,0,1
Female,,No,No,49,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,84.5,3906.7,0,4-5yr,0.02162950828064607,0.0,1.69,0,0
Male,,No,No,2,,No,DSL,,,,,,,Month-to-month,No,Mailed check,49.25,97.0,0,0-1yr,0.5077319587628866,0.0,16.416666666666668,0,1
Female,,No,No,2,,No,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,80.65,144.15,1,0-1yr,0.5594866458550122,0.0,26.883333333333336,0,1
Male,,No,No,52,,Yes,DSL,,,,,,,Two year,Yes,Credit card (automatic),79.75,4217.8,0,4-5yr,0.01890796149651477,0.0,1.5047169811320755,0,0
Female,,Yes,Yes,69,,Yes,DSL,,,,,,,Two year,Yes,Credit card (automatic),64.15,4254.1,0,5-6yr,0.01507957029689006,0.0,0.9164285714285715,0,0
Female,,No,No,43,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,90.25,3838.75,0,3-4yr,0.023510257245197005,0.0,2.0511363636363638,0,0
Female,,No,No,15,,No,Fiber optic,,,,,,,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,1-2yr,0.06947560291643297,0.0,6.19375,0,1
Female,,Yes,No,25,,Yes,DSL,,,,,,,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,2-3yr,0.03965423786837075,0.0,2.673076923076923,0,1
Female,,Yes,No,8,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,0-1yr,0.12734880783199118,0.0,8.961111111111112,0,1
Female,,Yes,Yes,60,,No,DSL,,,,,,,One year,Yes,Credit card (automatic),74.85,4456.35,0,4-5yr,0.016796257026490288,0.0,1.2270491803278687,0,0
Male,,No,No,18,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,95.45,1752.55,1,1-2yr,0.054463496048614876,0.0,5.023684210526316,0,1
Female,,Yes,Yes,63,,Yes,Fiber optic,,,,,,,One year,Yes,Credit card (automatic),99.65,6311.2,0,5-6yr,0.015789390290277604,0.0,1.55703125,0,0
Male,,Yes,Yes,66,,Yes,Fiber optic,,,,,,,One year,Yes,Electronic check,108.45,7076.35,0,5-6yr,0.015325697570074967,0.0,1.6186567164179104,0,0
Female,,Yes,Yes,34,,Yes,No,,,,,,,Two year,No,Credit card (automatic),24.95,894.3,0,2-3yr,0.02789891535278989,0.0,0.7128571428571429,0,1
Female,,No,No,72,,Yes,Fiber optic,,,,,,,Two year,Yes,Credit card (automatic),107.5,7853.7,0,5-6yr,0.013687815933891033,0.0,1.4726027397260273,0,0
Female,,Yes,No,47,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,100.5,4707.1,0,3-4yr,0.021350725499776933,0.0,2.09375,0,0
Male,,No,No,60,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,4-5yr,0.016493294439246336,0.0,1.4737704918032788,0,0
Male,,Yes,No,72,,No phone service,DSL,,,,,,,Two year,No,Bank transfer (automatic),42.1,2962.0,0,5-6yr,0.014213369345037138,0.0,0.5767123287671233,0,0
Female,,Yes,Yes,18,,No,DSL,,,,,,,One year,Yes,Credit card (automatic),54.4,957.1,0,1-2yr,0.05683836589698046,0.0,2.863157894736842,0,1
Female,,No,No,9,,Yes,Fiber optic,,,,,,,Month-to-month,No,Electronic check,94.4,857.25,1,0-1yr,0.11011956838728493,0.0,9.440000000000001,0,1
Female,,No,No,3,,No,DSL,,,,,,,Month-to-month,Yes,Electronic check,75.3,244.1,0,0-1yr,0.308480131093814,0.0,18.825,0,1
Male,,Yes,No,47,,Yes,Fiber optic,,,,,,,One year,Yes,Electronic check,78.9,3650.35,0,3-4yr,0.02161436574575041,0.0,1.64375,0,0
Female,,No,No,31,,No,DSL,,,,,,,Two year,No,Mailed check,79.2,2497.2,0,2-3yr,0.03171552138395003,0.0,2.475,0,1
Female,,Yes,Yes,50,,No,No,,,,,,,Two year,No,Bank transfer (automatic),20.15,930.9,0,4-5yr,0.021645719196476527,0.0,0.39509803921568626,0,1
Male,,No,No,10,,No,Fiber optic,,,,,,,Month-to-month,Yes,Mailed check,79.85,887.35,0,0-1yr,0.08998704006310924,0.0,7.259090909090909,0,1
Male,,No,No,1,,No,DSL,,,,,,,Month-to-month,No,Mailed check,49.05,49.05,0,0-1yr,1.0,0.0,24.525,0,1
Female,,Yes,Yes,52,,No,No,,,,,,,One year,Yes,Electronic check,20.4,1090.65,0,4-5yr,0.018704442305047447,0.0,0.38490566037735846,0,1
Male,,Yes,Yes,64,,Yes,Fiber optic,,,,,,,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,5-6yr,0.01572052401746725,0.0,1.7169230769230768,0,0
Male,,Yes,Yes,62,,Yes,No,,,,,,,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,5-6yr,0.017022322055313774,0.0,0.38492063492063494,0,1
Female,,No,Yes,3,,No,DSL,,,,,,,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,0-1yr,0.36358511837655016,0.0,16.125,0,1
Female,,No,No,56,,Yes,Fiber optic,,,,,,,One year,No,Electronic check,110.5,6139.5,0,4-5yr,0.017998208323153353,0.0,1.9385964912280702,0,0
Female,,No,No,46,,No,DSL,,,,,,,One year,No,Credit card (automatic),55.65,2688.85,0,3-4yr,0.02069658032244268,0.0,1.1840425531914893,0,1
Female,,Yes,Yes,8,,No,DSL,,,,,,,Month-to-month,No,Mailed check,54.65,482.25,0,0-1yr,0.1133229652669777,0.0,6.072222222222222,0,1
Male,,No,No,30,,No,DSL,,,,,,,Month-to-month,Yes,Electronic check,74.75,2111.3,0,2-3yr,0.03540472694548382,0.0,2.411290322580645,0,1
Female,,Yes,Yes,45,,Yes,No,,,,,,,One year,Yes,Credit card (automatic),25.9,1216.6,0,3-4yr,0.021288837744533946,0.0,0.5630434782608695,0,1
Female,,No,Yes,1,,No,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,79.35,79.35,1,0-1yr,1.0,0.0,39.675,0,1
Female,,Yes,Yes,11,,No phone service,DSL,,,,,,,Month-to-month,No,Electronic check,50.55,565.35,0,0-1yr,0.08941363756964711,0.0,4.2124999999999995,0,1
Female,,Yes,No,7,,No,Fiber optic,,,,,,,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,0-1yr,0.1512376735761723,0.0,9.39375,0,1
Female,,No,No,42,,No,Fiber optic,,,,,,,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,3-4yr,0.023986135181975735,0.0,2.413953488372093,0,0
Female,,Yes,No,49,,No,No,,,,,,,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,4-5yr,0.020701700313350797,0.0,0.40299999999999997,0,1
Male,,No,No,9,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,0-1yr,0.10808163265306123,0.0,9.93,0,1
Female,,Yes,No,35,,No,DSL,,,,,,,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,2-3yr,0.02805299149157056,0.0,1.7263888888888888,0,1
Female,,Yes,Yes,48,,No,No,,,,,,,Two year,No,Bank transfer (automatic),20.65,1057.0,0,3-4yr,0.0195364238410596,0.0,0.4214285714285714,0,1
Female,,Yes,Yes,46,,No,No,,,,,,,Two year,Yes,Mailed check,19.95,927.1,0,3-4yr,0.02151871427030525,0.0,0.42446808510638295,0,1
Male,,Yes,No,29,,No phone service,DSL,,,,,,,Month-to-month,No,Mailed check,33.75,1009.25,0,2-3yr,0.03344067376764925,0.0,1.125,0,1
Male,,Yes,Yes,30,,No,Fiber optic,,,,,,,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,2-3yr,0.03192358571317407,0.0,2.646774193548387,0,1
Male,,No,No,1,,No,Fiber optic,,,,,,,Month-to-month,No,Electronic check,74.7,74.7,0,0-1yr,1.0,0.0,37.35,0,1
Male,,Yes,Yes,66,,Yes,DSL,,,,,,,Two year,Yes,Mailed check,84.0,5714.25,0,5-6yr,0.014700091875574223,0.0,1.2537313432835822,0,0
Female,,No,No,65,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,5-6yr,0.0156254397073308,0.0,1.6825757575757576,0,0
Male,,No,No,72,,Yes,Fiber optic,,,,,,,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,5-6yr,0.013527191800564416,0.0,1.382191780821918,0,0
Female,,No,No,12,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,78.95,927.35,1,0-1yr,0.08513506227422225,0.0,6.073076923076924,0,1
Male,,Yes,Yes,71,,Yes,DSL,,,,,,,One year,Yes,Credit card (automatic),66.85,4748.7,0,5-6yr,0.014077537010129088,0.0,0.9284722222222221,0,0
Male,,No,No,5,,No,No,,,,,,,Month-to-month,No,Mailed check,21.05,113.85,1,0-1yr,0.18489240228370665,0.0,3.5083333333333333,0,1
Male,,No,No,52,,No,No,,,,,,,Two year,No,Bank transfer (automatic),21.0,1107.2,0,4-5yr,0.018966763005780346,0.0,0.39622641509433965,0,1
Female,,Yes,No,25,,No,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,98.5,2514.5,1,2-3yr,0.03917279777291708,0.0,3.7884615384615383,0,1
Male,,No,No,1,,No,No,,,,,,,Month-to-month,No,Mailed check,20.2,20.2,0,0-1yr,1.0,0.0,10.1,0,1
Female,,Yes,Yes,1,,No,No,,,,,,,Month-to-month,No,Electronic check,19.45,19.45,0,0-1yr,1.0,0.0,9.725,0,1
Male,,No,No,38,,Yes,Fiber optic,,,,,,,One year,No,Bank transfer (automatic),95.0,3605.6,0,3-4yr,0.02634790326159308,0.0,2.4358974358974357,0,0
Female,,Yes,No,66,,No phone service,DSL,,,,,,,One year,No,Bank transfer (automatic),45.55,3027.25,0,5-6yr,0.015046659509455777,0.0,0.6798507462686567,0,0
Male,,Yes,No,68,,Yes,Fiber optic,,,,,,,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,5-6yr,0.014451151822487305,0.0,1.5942028985507246,0,0
Male,,No,No,5,,No phone service,DSL,,,,,,,Month-to-month,No,Mailed check,24.3,100.2,0,0-1yr,0.24251497005988024,0.0,4.05,0,1
Female,,Yes,Yes,72,,Yes,Fiber optic,,,,,,,One year,Yes,Electronic check,104.15,7303.05,0,5-6yr,0.014261164855779435,0.0,1.4267123287671233,0,0
Female,,No,No,32,,No phone service,DSL,,,,,,,One year,No,Mailed check,30.15,927.65,0,2-3yr,0.03250148224006899,0.0,0.9136363636363636,0,1
Male,,No,No,43,,Yes,Fiber optic,,,,,,,One year,No,Mailed check,94.35,3921.3,0,3-4yr,0.024060898171524746,0.0,2.1443181818181816,0,0
Male,,Yes,Yes,72,,No,No,,,,,,,Two year,No,Credit card (automatic),19.4,1363.25,0,5-6yr,0.014230698697964422,0.0,0.2657534246575342,0,1
Male,,Yes,No,55,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,96.75,5238.9,1,4-5yr,0.018467617247895553,0.0,1.7276785714285714,0,0
Female,,No,No,52,,No,DSL,,,,,,,One year,No,Credit card (automatic),57.95,3042.25,0,4-5yr,0.019048401676390832,0.0,1.0933962264150945,0,0
Female,,No,No,43,,No,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,91.65,3954.1,0,3-4yr,0.023178472977415848,0.0,2.0829545454545455,0,0
Female,,Yes,No,37,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,76.5,2868.15,1,3-4yr,0.026672245175461535,0.0,2.013157894736842,0,0
Female,,Yes,Yes,64,,No phone service,DSL,,,,,,,Two year,Yes,Electronic check,54.6,3423.5,0,5-6yr,0.015948590623630788,0.0,0.84,0,0
Male,,Yes,Yes,3,,No,Fiber optic,,,,,,,Month-to-month,No,Electronic check,89.85,248.4,0,0-1yr,0.3617149758454106,0.0,22.4625,0,1
Female,,No,No,36,,No phone service,DSL,,,,,,,Two year,No,Bank transfer (automatic),31.05,1126.35,0,2-3yr,0.027566919696364364,0.0,0.8391891891891892,0,1
Female,,Yes,Yes,10,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,100.25,1064.65,1,0-1yr,0.09416240078899168,0.0,9.113636363636363,0,1
Female,,No,No,41,,No,No,,,,,,,Two year,No,Mailed check,20.65,835.15,0,3-4yr,0.024726097108303896,0.0,0.49166666666666664,0,1
Male,,Yes,Yes,27,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,0,2-3yr,0.03959843837144451,0.0,3.042857142857143,0,1
Female,,Yes,Yes,56,,Yes,Fiber optic,,,,,,,One year,Yes,Credit card (automatic),99.8,5515.45,0,4-5yr,0.018094625098586697,0.0,1.750877192982456,0,0
Female,,No,No,6,,No,No,,,,,,,Month-to-month,No,Mailed check,20.7,112.75,0,0-1yr,0.1835920177383592,0.0,2.957142857142857,0,1
Male,,No,No,3,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,74.4,229.55,1,0-1yr,0.3241123938139839,0.0,18.6,0,1
Female,,Yes,Yes,7,,No,DSL,,,,,,,Month-to-month,No,Mailed check,50.7,350.35,0,0-1yr,0.14471243042671614,0.0,6.3375,0,1
Female,,Yes,Yes,4,,No,No,,,,,,,Month-to-month,No,Mailed check,20.85,62.9,0,0-1yr,0.33147853736089034,0.0,4.17,0,1
Male,,No,No,33,,No,Fiber optic,,,,,,,Two year,Yes,Electronic check,88.95,3027.65,0,2-3yr,0.02937922150843063,0.0,2.6161764705882353,0,0
Female,,No,No,27,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,78.05,2135.5,1,2-3yr,0.03654881760711777,0.0,2.7875,0,1
Male,,Yes,No,72,,Yes,No,,,,,,,Two year,Yes,Bank transfer (automatic),23.55,1723.95,0,5-6yr,0.01366048899330027,0.0,0.32260273972602743,0,1
Male,,No,No,1,,No,No,,,,,,,Month-to-month,No,Mailed check,19.75,19.75,0,0-1yr,1.0,0.0,9.875,0,1
Male,,No,No,71,,No phone service,DSL,,,,,,,One year,Yes,Electronic check,56.45,3985.35,0,5-6yr,0.014164377030875582,0.0,0.7840277777777778,0,0
Female,,No,No,13,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Electronic check,85.95,1215.65,0,1-2yr,0.0707029161354008,0.0,6.139285714285714,0,1
Female,,Yes,Yes,25,,No phone service,DSL,,,,,,,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,2-3yr,0.038997770605264034,0.0,2.253846153846154,0,1
Male,,No,No,67,,No,DSL,,,,,,,Two year,No,Bank transfer (automatic),50.55,3260.1,0,5-6yr,0.015505659335603201,0.0,0.7433823529411764,0,0
Male,,No,No,1,,No phone service,DSL,,,,,,,Month-to-month,Yes,Electronic check,35.45,35.45,1,0-1yr,1.0,0.0,17.725,0,1
Male,,No,No,2,,No,DSL,,,,,,,Month-to-month,No,Electronic check,44.35,81.25,1,0-1yr,0.5458461538461539,0.0,14.783333333333333,0,1
Female,,No,No,43,,Yes,No,,,,,,,Two year,Yes,Credit card (automatic),25.7,1188.2,0,3-4yr,0.02162935532738596,0.0,0.5840909090909091,0,1
Female,,No,No,23,,No,Fiber optic,,,,,,,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,0,1-2yr,0.04217036828788305,0.0,3.125,0,1
Female,,Yes,Yes,64,,No,No,,,,,,,Two year,No,Mailed check,20.2,1277.75,0,5-6yr,0.01580903932694189,0.0,0.31076923076923074,0,1
Male,,No,Yes,57,,No,No,,,,,,,Two year,Yes,Mailed check,19.6,1170.55,0,4-5yr,0.01674426551621033,0.0,0.33793103448275863,0,1
Female,,Yes,No,1,,No,Fiber optic,,,,,,,Month-to-month,Yes,Mailed check,70.45,70.45,1,0-1yr,1.0,0.0,35.225,0,1
Female,,Yes,Yes,72,,Yes,DSL,,,,,,,Two year,Yes,Credit card (automatic),88.05,6425.65,0,5-6yr,0.013702893870659,0.0,1.2061643835616438,0,0
Female,,No,No,8,,Yes,DSL,,,,,,,Month-to-month,No,Electronic check,71.15,563.65,1,0-1yr,0.12623081699636302,0.0,7.905555555555556,0,1
Female,,Yes,No,61,,Yes,Fiber optic,,,,,,,Two year,Yes,Bank transfer (automatic),101.05,5971.25,0,5-6yr,0.01692275486707138,0.0,1.6298387096774194,0,0
Male,,No,No,64,,Yes,Fiber optic,,,,,,,One year,Yes,Credit card (automatic),84.3,5289.05,0,5-6yr,0.015938590105973663,0.0,1.2969230769230768,0,0
Male,,Yes,No,71,,Yes,No,,,,,,,Two year,No,Bank transfer (automatic),23.95,1756.2,0,5-6yr,0.013637398929506888,0.0,0.3326388888888889,0,1
Female,,Yes,Yes,65,,Yes,Fiber optic,,,,,,,Two year,Yes,Credit card (automatic),99.05,6416.7,0,5-6yr,0.015436283447878193,0.0,1.5007575757575757,0,0
Male,,No,No,3,,No,No,,,,,,,One year,No,Mailed check,19.6,61.35,0,0-1yr,0.319478402607987,0.0,4.9,0,1
Male,,No,No,1,,No,DSL,,,,,,,Month-to-month,Yes,Electronic check,45.65,45.65,1,0-1yr,1.0,0.0,22.825,0,1
Male,,No,Yes,30,,No,DSL,,,,,,,One year,No,Credit card (automatic),64.5,1929.95,0,2-3yr,0.03342055493665639,0.0,2.0806451612903225,0,1
Male,,Yes,Yes,15,,No,DSL,,,,,,,Month-to-month,Yes,Mailed check,69.5,1071.4,0,1-2yr,0.06486839649057308,0.0,4.34375,0,1
Female,,Yes,Yes,8,,No,DSL,,,,,,,Month-to-month,Yes,Electronic check,68.55,564.35,0,0-1yr,0.12146717462567555,0.0,7.616666666666666,0,1
Male,,No,No,7,,Yes,Fiber optic,,,,,,,Month-to-month,No,Mailed check,95.0,655.5,1,0-1yr,0.14492753623188406,0.0,11.875,0,1
Female,,Yes,Yes,70,,Yes,Fiber optic,,,,,,,One year,Yes,Credit card (automatic),108.15,7930.55,0,5-6yr,0.013637137399045464,0.0,1.5232394366197184,0,0
Male,,Yes,Yes,62,,No,DSL,,,,,,,Two year,No,Electronic check,86.1,5215.25,0,5-6yr,0.016509275681894444,0.0,1.3666666666666665,0,0
Female,,Yes,Yes,6,,No,No,,,,,,,Month-to-month,No,Mailed check,19.7,113.5,0,0-1yr,0.173568281938326,0.0,2.814285714285714,0,1
Female,,Yes,Yes,14,,No,Fiber optic,,,,,,,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,0,1-2yr,0.07017696044413603,0.0,5.3933333333333335,0,1
Female,,No,No,22,,Yes,Fiber optic,,,,,,,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,0,1-2yr,0.046186777902796454,0.0,3.6586956521739133,0,1
Male,,Yes,Yes,22,,No,No,,,,,,,One year,No,Mailed check,20.15,419.9,0,1-2yr,0.047987616099071206,0.0,0.8760869565217391,0,1
Male,,Yes,Yes,16,,No,DSL,,,,,,,Two year,No,Mailed check,64.25,1024.0,0,1-2yr,0.062744140625,0.0,3.7794117647058822,0,1
Male,,No,No,10,,Yes,No,,,,,,,Two year,No,Bank transfer (automatic),25.7,251.6,0,0-1yr,0.10214626391096979,0.0,2.3363636363636364,0,1
Female,,No,Yes,13,,No,DSL,,,,,,,Month-to-month,Yes,Electronic check,56.0,764.55,0,1-2yr,0.07324570008501734,0.0,4.0,0,1
Female,,Yes,No,20,,Yes,Fiber optic,,,,,,,Month-to-month,No,Electronic check,82.4,1592.35,1,1-2yr,0.05174741733915283,0.0,3.923809523809524,0,1
